ltable_id,rtable_id,label,explanation
730,775,0,"2 entities differ in size, specifications, features and design. Even though both entities are LG dishwashers, they’re not a match because they’re designed differently and target different markets, one for home use and other for commercial use. </s>"
670,820,0,"Both Entity A and Entity B are related to the ""Seethru"" line of cases for macbooks, however the color of Entity B is different and it does not match Entity A's ""clear"" hard shell case, therefore they are not a match."
497,239,0,"Entity A and Entity B both refer to Denon DVD/CD player, however they differ in their features and specifications. Entity A has more advanced features like Realta HQV video processor, 1080p/24fps output, 3D, HDMI 1.3a output, multi-layered construction, and more, whereas Entity B has some standard features like CD/DVD/DVD-RW/CD-RW disc playback, various file formats playback like MP3, WMA, JPEG and so on but not have advanced features like Entity A. Thus"
644,299,0,"2 entities from panasonic dect digital cordless phones with different features, different specifications and designs, therefore they are not a match."
464,32,0,"Both entities are related to sony brand, but one is a camera and the other is a head cleaner. They are not meant to be used together, so they are not a match."
855,1061,0,"1. The 7.1-channel capability of the txsr706b is not listed in the txnr906b 2. The txsr706b has a unique feature of audyssey dynamic eq which is not listed in the txnr906b 3. On the other hand, the txnr906b has audyssey room calibration and has the ability to adjust the crosstalk level. Therefore they are not a match."
671,817,0,"Entity A refers to speck seethru pink hard shell case for macbook air while Entity B refers to seethru case for apple 13 MacBook, while both are seethru cases for Apple laptops they are not a match as Entity A is a hard shell case while Entity B is a plastic case."
255,871,1,"Entity A and Entity B both are whirlpool washing machine models, therefore they match each other."
328,302,0,"Entity A refers to a cordless phone system with multiple handsets and features while Entity B only refers to an expansion handset for the same phone system, therefore they are not a match."
345,874,0,"28-135mm lens is not compatible with ef-s mount so Entity A and Entity B are not a match."
466,579,0,"The entity A is a Sony Handycam with a Hard Disk Drive, while the Entity B is a Sony Handycam without any information about the storage type, but has a Hybrid LCD. The specifications provided are not enough to determine if they match."
190,34,0,"1stly, Entity A is cordless while Entity B is corded. 2ndly, Entity A is capable of handling 4 lines whereas Entity B is capable of only handling 1 line. 3rdly, Entity A is equipped with features such as frequency-hopping spread spectrum technology, all-digital voice mail, tollsaver 2-way recording whereas Entity B doesn’t have these features. These factors make Entity A and Entity B a match in terms of the general functionality and capabilities."
1021,17,0,"2 entities are different types of linksys network adapters, one for desktop, other for wired or wireless networks, 1 is a range expander which has a range extend function and the other is a bridge which connects wired and wired networks together, therefore they are not a match."
719,798,0,"1.6cu.ft and 2.0cu.ft are both a measurement for microwave capacity, thus the two entities are not a match as they are different in microwave capacity."
519,399,0,"1. The first entities refer to a specific camera model, while the second entity refers to a camera case for a specific camera model. Therefore, they do not match as the second entity is not a camera, but rather an accessory for one. 2. Furthermore, the first entity refers to a specific color of the camera, while the second entity refers to a specific color of the camera case. This is another reason why they don't match."
675,1021,0,"42 inch is not 26 inches therefore it is not a match."
14,517,0,"Both entities belong to different products, one is a headset while the other is a cordless handset, therefore they are not a match."
647,1074,0,"Both entities refer to sony dock for ipod, but their names are different, also one entity has clock radio with ipod dock while the other is only an ipod dock, therefore they are not a match."
345,653,0,"2 entities are not a match as they are both different models of cameras, Entity A with eos 40d digital slr and lens 28-135mm is a different model than Entity B with powershot sd790 digital camera."
993,419,0,"1. Entity A refers to a specific lens (EF 70-300mm f/4 -5.6 is USM) which is an accessory of a camera, while Entity B refers to a camera (Canon EOS 40d). 2. Entity A does not have a price, it is labeled as nan. 3. The details of the lens referenced in Entity A are not present in Entity B. 4. Even though both products are from Canon and the model numbers are close, they are not the same product. Therefore, they are not a match"
138,205,0,"1. Entity A refers to a remote control for ps2, and 2. Entity B refers to a universal remote for different types of devices. Thus, the two entities are not a match because they refer to different types of remote controls."
836,1034,0,"2nd entity is not a match with entity A, as it is a generic name ""sony ipod/phone dock clock radio"" and doesn't provide any information about it, whereas entity A describes the product more specifically as an ""ihome ipod & iphone clock radio & audio system ip99br"" and provides more details such as docking capabilities, the function of the remote control, and the color."
444,880,0,"1) Entity A is silver color while Entity B is black. 2) Entity A is 7.2 MP while Entity B is 8.1 MP, 3) Entity A has 2x optical zoom and Entity B has 4x optical zoom, 4) Entity A has 15mb internal memory while Entity B has 16mb internal memory, 5) Entity A has Face detection and Entity B does not have it. 6) Entity A has Super steadyshot while Entity B does not have it. 7) Entity A has image stabilization while Entity B does not have it."
717,801,0,"2nd entity has no information in description nor price, 1st entity has detailed information in both description and price, they are therefore not a match."
558,485,0,"2 different entities with different name brand names, and also the specification they offer like entity A is backward compatible with 802.11 b/g up to 300 mbps data transfer rates while entity B is 54mbps."
844,819,0,"Entity A refers to hard shell case for apple 13’ macbook mb13 , while Entity B refers to hard shell case for apple 13 ‘ macbook mb13 but with different color blue instead of red therefore they’re not a match."
109,366,0,"Entity A refers to color ink cartridge while Entity B refers to black ink cartridge and they do not have similar specifications or compatibility so they are not a match."
